Code,Name,Region/Country,Supergroup name
E07000209,Guildford,"South East, England",Affluent England  
E07000210,Mole Valley,"South East, England",Affluent England  
E07000211,Reigate and Banstead,"South East, England",Affluent England  
E07000212,Runnymede,"South East, England",Affluent England  
E07000213,Spelthorne,"South East, England",Affluent England  
E07000214,Surrey Heath,"South East, England",Affluent England  
E10000030,Surrey,"South East, England",Affluent England  
E07000215,Tandridge,"South East, England",Affluent England  
E07000216,Waverley,"South East, England",Affluent England  
E07000217,Woking,"South East, England",Affluent England  
E07000223,Adur,"South East, England",Town and Country Living
E07000224,Arun,"South East, England",Countryside Living
E07000225,Chichester,"South East, England",Countryside Living
E07000226,Crawley,"South East, England",Urban Settlements
E07000227,Horsham,"South East, England",Affluent England  
E07000228,Mid Sussex,"South East, England",Affluent England  
E10000032,West Sussex,"South East, England",Affluent England  
E10000011,East Sussex,"South East, England",Affluent England  
E10000016,Kent,"South East, England",Urban Settlements
E07000229,Worthing,"South East, England",Urban Settlements
E06000022,Bath and North East Somerset,"South West, England","Business, Education and Heritage Centres "
E06000028,Bournemouth,"South West, England","Business, Education and Heritage Centres "
E06000023,"Bristol,  City of","South West, England","Business, Education and Heritage Centres "
E06000053,Isles of Scilly,"South West, England",Countryside Living
E06000052,Cornwall,"South West, England",Countryside Living
E06000024,North Somerset,"South West, England",Countryside Living
E06000026,Plymouth,"South West, England","Business, Education and Heritage Centres "
E06000029,Poole,"South West, England",Town and Country Living
E06000025,South Gloucestershire,"South West, England",Town and Country Living
E10000013,Gloucestershire,"South West, England",Town and Country Living
E06000030,Swindon,"South West, England",Urban Settlements
E06000027,Torbay,"South West, England",Countryside Living
E06000054,Wiltshire,"South West, England",Town and Country Living
E07000040,East Devon,"South West, England",Countryside Living
E07000041,Exeter,"South West, England","Business, Education and Heritage Centres "
E07000042,Mid Devon,"South West, England",Countryside Living
E07000043,North Devon,"South West, England",Countryside Living
E07000044,South Hams,"South West, England",Countryside Living
E07000045,Teignbridge,"South West, England",Countryside Living
E07000046,Torridge,"South West, England",Countryside Living
E07000047,West Devon,"South West, England",Countryside Living
