A662,PU,Trunk/Principal Road
A557,TU,Trunk/Principal Road
A1150,PR,Trunk/Principal Road
A603,PR,Trunk/Principal Road
A616,TR,Trunk/Principal Road
A6040,PU,Trunk/Principal Road
A455,PU,Trunk/Principal Road
A467,PU,Trunk/Principal Road
A48(M),TM,Motorways
A6094,PR,Trunk/Principal Road
A916,PR,Trunk/Principal Road
A772,PR,Trunk/Principal Road
A5033,PR,Trunk/Principal Road
A5106,PU,Trunk/Principal Road
A558,PR,Trunk/Principal Road
A195,PU,Trunk/Principal Road
A205,TU,Trunk/Principal Road
A565,TU,Trunk/Principal Road
A120,PU,Trunk/Principal Road
A6191,PU,Trunk/Principal Road
A981,PR,Trunk/Principal Road
A900,PU,Trunk/Principal Road
A737,TR,Trunk/Principal Road
A2004,PU,Trunk/Principal Road
A3044,PR,Trunk/Principal Road
A4094,PR,Trunk/Principal Road
A4156,PU,Trunk/Principal Road
A2700,PR,Trunk/Principal Road
A6027,PU,Trunk/Principal Road
A5143,PU,Trunk/Principal Road
A538,PR,Trunk/Principal Road
A502,PU,Trunk/Principal Road
A3004,PU,Trunk/Principal Road
A218,PU,Trunk/Principal Road
A1129,PU,Trunk/Principal Road
A1160,PU,Trunk/Principal Road
A1302,PR,Trunk/Principal Road
A620,PU,Trunk/Principal Road
A427,TU,Trunk/Principal Road
A180,TR,Trunk/Principal Road
A1031,PU,Trunk/Principal Road
A1238,PR,Trunk/Principal Road
A4120,PU,Trunk/Principal Road
A4049,PR,Trunk/Principal Road
A736,PU,Trunk/Principal Road
A761,PR,Trunk/Principal Road
A814,PU,Trunk/Principal Road
A821,PR,Trunk/Principal Road
A7,TU,Trunk/Principal Road
A361,PU,Trunk/Principal Road
A2044,PU,Trunk/Principal Road
M56,TM,Motorways
A589,PU,Trunk/Principal Road
A6140,PU,Trunk/Principal Road
A140,PU,Trunk/Principal Road
A1014,PR,Trunk/Principal Road
A650,TR,Trunk/Principal Road
A1098,PU,Trunk/Principal Road
A6108,PU,Trunk/Principal Road
A4240,PU,Trunk/Principal Road
A957,PR,Trunk/Principal Road
A713,PU,Trunk/Principal Road
A25,PR,Trunk/Principal Road
A247,PR,Trunk/Principal Road
A6027,PR,Trunk/Principal Road
A6060,PU,Trunk/Principal Road
A68,PU,Trunk/Principal Road
A3003,PU,Trunk/Principal Road
A1203,TU,Trunk/Principal Road
A603,PU,Trunk/Principal Road
A133,PR,Trunk/Principal Road
A5228,PU,Trunk/Principal Road
A1175,PR,Trunk/Principal Road
A64,PM,Trunk/Principal Road
A4115,PR,Trunk/Principal Road
A228,PU,Trunk/Principal Road
M275,TM,Motorways
A6104,PU,Trunk/Principal Road
A6078,PU,Trunk/Principal Road
A2211,PU,Trunk/Principal Road
A1206,PU,Trunk/Principal Road
A408,PU,Trunk/Principal Road
A5267,PU,Trunk/Principal Road
A5758,PR,Trunk/Principal Road
A1017,PR,Trunk/Principal Road
A1304,PU,Trunk/Principal Road
A6007,PU,Trunk/Principal Road
A5630,PU,Trunk/Principal Road
M18,TM,Motorways
A1174,PR,Trunk/Principal Road
A53,PR,Trunk/Principal Road
A487,TR,Trunk/Principal Road
A548,PU,Trunk/Principal Road
A4226,PU,Trunk/Principal Road
A711,PR,Trunk/Principal Road
A721,PR,Trunk/Principal Road
A72,PU,Trunk/Principal Road
A3093,PR,Trunk/Principal Road
A56,PU,Trunk/Principal Road
A5060,PU,Trunk/Principal Road
A5230,PR,Trunk/Principal Road
A672,PU,Trunk/Principal Road
A1018,PU,Trunk/Principal Road
A137,PU,Trunk/Principal Road
A44,PR,Trunk/Principal Road
A38,PM,Trunk/Principal Road
A539,PU,Trunk/Principal Road
A4218,PR,Trunk/Principal Road
A909,PR,Trunk/Principal Road
A79,PU,Trunk/Principal Road
A199,TR,Trunk/Principal Road
A267,PU,Trunk/Principal Road
A535,PU,Trunk/Principal Road
A201,PU,Trunk/Principal Road
A5139,PR,Trunk/Principal Road
A66,TR,Trunk/Principal Road
A735,PU,Trunk/Principal Road
A9013,PU,Trunk/Principal Road
A948,PR,Trunk/Principal Road
A31,PR,Trunk/Principal Road
A412,PR,Trunk/Principal Road
A6058,PU,Trunk/Principal Road
A693,PR,Trunk/Principal Road
A1086,PR,Trunk/Principal Road
A2205,PU,Trunk/Principal Road
A1251,PU,Trunk/Principal Road
A1069,PU,Trunk/Principal Road
A1079,TR,Trunk/Principal Road
A6539,PU,Trunk/Principal Road
A458,PU,Trunk/Principal Road
A4540,PU,Trunk/Principal Road
A708,PR,Trunk/Principal Road
A929,PR,Trunk/Principal Road
A420,PU,Trunk/Principal Road
A27,TU,Trunk/Principal Road
A250,PU,Trunk/Principal Road
A74,TR,Trunk/Principal Road
A5106,PR,Trunk/Principal Road
A10,TU,Trunk/Principal Road
A1153,PU,Trunk/Principal Road
A4125,PU,Trunk/Principal Road
A569,PR,Trunk/Principal Road
A170,PR,Trunk/Principal Road
A650,TU,Trunk/Principal Road
A5190,PU,Trunk/Principal Road
A446,PR,Trunk/Principal Road
A4063,PU,Trunk/Principal Road
A930,PU,Trunk/Principal Road
A719,PU,Trunk/Principal Road
A3,TR,Trunk/Principal Road
A29,PU,Trunk/Principal Road
A274,PU,Trunk/Principal Road
A671,PU,Trunk/Principal Road
A6061,PR,Trunk/Principal Road
A626,PR,Trunk/Principal Road
A2208,PU,Trunk/Principal Road
A129,PU,Trunk/Principal Road
A1,TR,Trunk/Principal Road
A6033,PU,Trunk/Principal Road
M6,TM,Motorways
A4085,PR,Trunk/Principal Road
A4055,PR,Trunk/Principal Road
A822,PR,Trunk/Principal Road
A4421,PR,Trunk/Principal Road
A665,PU,Trunk/Principal Road
A181,PR,Trunk/Principal Road
A154,PU,Trunk/Principal Road
A5140,PU,Trunk/Principal Road
A5001,PR,Trunk/Principal Road
A6102,PU,Trunk/Principal Road
A628,PU,Trunk/Principal Road
A170,PU,Trunk/Principal Road
A4133,PR,Trunk/Principal Road
A545,PR,Trunk/Principal Road
A489,PU,Trunk/Principal Road
M898,TM,Motorways
A725,TU,Trunk/Principal Road
A6091,TR,Trunk/Principal Road
A691,PR,Trunk/Principal Road
A144,PR,Trunk/Principal Road
A1092,PR,Trunk/Principal Road
A65,PU,Trunk/Principal Road
A1031,PR,Trunk/Principal Road
A521,PR,Trunk/Principal Road
A4234,PU,Trunk/Principal Road
A332,PR,Trunk/Principal Road
A2500,PR,Trunk/Principal Road
A6145,PU,Trunk/Principal Road
A5028,PU,Trunk/Principal Road
A507,PU,Trunk/Principal Road
A60,TU,Trunk/Principal Road
A638,TU,Trunk/Principal Road
A62,PR,Trunk/Principal Road
A522,PR,Trunk/Principal Road
A460,PU,Trunk/Principal Road
A6091,TU,Trunk/Principal Road
A4,PR,Trunk/Principal Road
A29,PR,Trunk/Principal Road
A5085,PR,Trunk/Principal Road
A1147,PU,Trunk/Principal Road
A5137,PU,Trunk/Principal Road
A623,PR,Trunk/Principal Road
A4039,PU,Trunk/Principal Road
A488,PR,Trunk/Principal Road
A4050,PU,Trunk/Principal Road
A94,PR,Trunk/Principal Road
A751,TR,Trunk/Principal Road
A36,PU,Trunk/Principal Road
A340,PU,Trunk/Principal Road
A436,PR,Trunk/Principal Road
A2215,PU,Trunk/Principal Road
A600,PR,Trunk/Principal Road
A630,PU,Trunk/Principal Road
A6021,PU,Trunk/Principal Road
A5271,PU,Trunk/Principal Road
A4244,PR,Trunk/Principal Road
A82,TR,Trunk/Principal Road
A99,PR,Trunk/Principal Road
A960,PR,Trunk/Principal Road
A330,PR,Trunk/Principal Road
A24,PR,Trunk/Principal Road
A289,PU,Trunk/Principal Road
A295,PR,Trunk/Principal Road
A5103,TU,Trunk/Principal Road
A6076,PR,Trunk/Principal Road
A3006,PU,Trunk/Principal Road
A1099,PU,Trunk/Principal Road
A1232,TR,Trunk/Principal Road
A1019,PU,Trunk/Principal Road
A427,TR,Trunk/Principal Road
A6013,PU,Trunk/Principal Road
A59,PR,Trunk/Principal Road
A629,PU,Trunk/Principal Road
M180,TM,Motorways
A629,TR,Trunk/Principal Road
A4042,PU,Trunk/Principal Road
A4054,PU,Trunk/Principal Road
A4063,PR,Trunk/Principal Road
A828,TR,Trunk/Principal Road
A336,PR,Trunk/Principal Road
A418,PU,Trunk/Principal Road
A674,PR,Trunk/Principal Road
A535,PR,Trunk/Principal Road
M55,TM,Motorways
A594,PR,Trunk/Principal Road
A599,PU,Trunk/Principal Road
A1016,PU,Trunk/Principal Road
A1096,PU,Trunk/Principal Road
A171,PR,Trunk/Principal Road
A41,TR,Trunk/Principal Road
A4216,PU,Trunk/Principal Road
A835,TR,Trunk/Principal Road
A809,PU,Trunk/Principal Road
A76,TU,Trunk/Principal Road
A329,PM,Trunk/Principal Road
A289,PR,Trunk/Principal Road
A689,PR,Trunk/Principal Road
M65,PR,Motorways
A4200,PU,Trunk/Principal Road
A111,PU,Trunk/Principal Road
A1263,PU,Trunk/Principal Road
A1306,PR,Trunk/Principal Road
A4251,PR,Trunk/Principal Road
A1024,PU,Trunk/Principal Road
A1155,PU,Trunk/Principal Road
A5134,PU,Trunk/Principal Road
A634,PR,Trunk/Principal Road
A6120,TR,Trunk/Principal Road
A451,PR,Trunk/Principal Road
A511,PR,Trunk/Principal Road
A4087,PR,Trunk/Principal Road
A724,PU,Trunk/Principal Road
A803,PU,Trunk/Principal Road
A961,PR,Trunk/Principal Road
A698,PU,Trunk/Principal Road
A2032,PU,Trunk/Principal Road
A240,PU,Trunk/Principal Road
A326,PU,Trunk/Principal Road
A190,PR,Trunk/Principal Road
A1300,PU,Trunk/Principal Road
A107,PU,Trunk/Principal Road
A312,TU,Trunk/Principal Road
A1081,PR,Trunk/Principal Road
A1117,PU,Trunk/Principal Road
A6141,PU,Trunk/Principal Road
A612,PR,Trunk/Principal Road
A647,PU,Trunk/Principal Road
A4141,PU,Trunk/Principal Road
A5104,PU,Trunk/Principal Road
A4232,PR,Trunk/Principal Road
A9011,PU,Trunk/Principal Road
A2,PU,Trunk/Principal Road
A264,PR,Trunk/Principal Road
A2011,PU,Trunk/Principal Road
A2100,PU,Trunk/Principal Road
A679,PU,Trunk/Principal Road
A184,PR,Trunk/Principal Road
A1052,PR,Trunk/Principal Road
A237,PU,Trunk/Principal Road
A1261,TU,Trunk/Principal Road
A610,PU,Trunk/Principal Road
A638,TR,Trunk/Principal Road
A38,TR,Trunk/Principal Road
A964,PR,Trunk/Principal Road
A917,PU,Trunk/Principal Road
A83,PR,Trunk/Principal Road
A4260,PR,Trunk/Principal Road
A324,PU,Trunk/Principal Road
A299,PU,Trunk/Principal Road
A578,PU,Trunk/Principal Road
A6,TU,Trunk/Principal Road
A1(T),TU,Trunk/Principal Road
A311,PU,Trunk/Principal Road
A145,PR,Trunk/Principal Road
A11,TR,Trunk/Principal Road
A1023,PR,Trunk/Principal Road
A6007,PR,Trunk/Principal Road
A642,PR,Trunk/Principal Road
A60,PR,Trunk/Principal Road
A917,PR,Trunk/Principal Road
A835,PR,Trunk/Principal Road
A978,PU,Trunk/Principal Road
A3090,PR,Trunk/Principal Road
A509,PU,Trunk/Principal Road
A3024,PU,Trunk/Principal Road
A339,PU,Trunk/Principal Road
A194,TM,Trunk/Principal Road
A428,TU,Trunk/Principal Road
A638,PU,Trunk/Principal Road
A1173,PU,Trunk/Principal Road
A46,TU,Trunk/Principal Road
A476,PR,Trunk/Principal Road
A3025,PU,Trunk/Principal Road
A343,PU,Trunk/Principal Road
A30,TR,Trunk/Principal Road
A248,PR,Trunk/Principal Road
A49,PU,Trunk/Principal Road
A196,PU,Trunk/Principal Road
A2217,PU,Trunk/Principal Road
A40,TM,Trunk/Principal Road
A553,PR,Trunk/Principal Road
A1308,PR,Trunk/Principal Road
A516,PR,Trunk/Principal Road
A621,PU,Trunk/Principal Road
A500,TR,Trunk/Principal Road
A4100,PU,Trunk/Principal Road
A4242,PR,Trunk/Principal Road
A913,PR,Trunk/Principal Road
A3011,PU,Trunk/Principal Road
A1046,PU,Trunk/Principal Road
A5205,PU,Trunk/Principal Road
A5137,PR,Trunk/Principal Road
A166,PR,Trunk/Principal Road
A4172,PR,Trunk/Principal Road
A9,PU,Trunk/Principal Road
A752,PR,Trunk/Principal Road
A724,PR,Trunk/Principal Road
A2008,PU,Trunk/Principal Road
A6066,PU,Trunk/Principal Road
A555,PU,Trunk/Principal Road
A1170,PR,Trunk/Principal Road
A14,TR,Trunk/Principal Road
A133,PU,Trunk/Principal Road
A27,PR,Trunk/Principal Road
A3,PR,Trunk/Principal Road
A580,PU,Trunk/Principal Road
A145,PU,Trunk/Principal Road
A632,PR,Trunk/Principal Road
A1104,PR,Trunk/Principal Road
A620,PR,Trunk/Principal Road
A162,PR,Trunk/Principal Road
A6195,PR,Trunk/Principal Road
A4106,PR,Trunk/Principal Road
A546,PU,Trunk/Principal Road
A4232,PU,Trunk/Principal Road
A841,PR,Trunk/Principal Road
A875,PR,Trunk/Principal Road
A91,PU,Trunk/Principal Road
A3201,PU,Trunk/Principal Road
A293,PR,Trunk/Principal Road
A57,PM,Trunk/Principal Road
A6114,PU,Trunk/Principal Road
A592,PU,Trunk/Principal Road
A693,PU,Trunk/Principal Road
A6079,PR,Trunk/Principal Road
A3031,PU,Trunk/Principal Road
A1203,PU,Trunk/Principal Road
A121,PU,Trunk/Principal Road
A1112,PR,Trunk/Principal Road
A1101,PU,Trunk/Principal Road
A12,PR,Trunk/Principal Road
A6900,PR,Trunk/Principal Road
A6133,PU,Trunk/Principal Road
A6176,PU,Trunk/Principal Road
A4640,PU,Trunk/Principal Road
A477,TR,Trunk/Principal Road
A481,PR,Trunk/Principal Road
A4078,PR,Trunk/Principal Road
A761,PU,Trunk/Principal Road
A807,PU,Trunk/Principal Road
A9012,PU,Trunk/Principal Road
A3020,PU,Trunk/Principal Road
A5087,PU,Trunk/Principal Road
A679,TR,Trunk/Principal Road
A688,PU,Trunk/Principal Road
A551,PU,Trunk/Principal Road
A1066,PU,Trunk/Principal Road
A619,PR,Trunk/Principal Road
A16,TU,Trunk/Principal Road
A6097,PR,Trunk/Principal Road
A19,PU,Trunk/Principal Road
A454,PU,Trunk/Principal Road
A494,TU,Trunk/Principal Road
A4046,PR,Trunk/Principal Road
A846,PR,Trunk/Principal Road
A2102,PU,Trunk/Principal Road
A4128,PU,Trunk/Principal Road
A104,PU,Trunk/Principal Road
A102,PU,Trunk/Principal Road
A1055,PU,Trunk/Principal Road
M25,TR,Motorways
A1138,PU,Trunk/Principal Road
A64,PU,Trunk/Principal Road
A6024,PU,Trunk/Principal Road
A435,PR,Trunk/Principal Road
A484,PU,Trunk/Principal Road
A68,PR,Trunk/Principal Road
A2260,TR,Trunk/Principal Road
A6185,PR,Trunk/Principal Road
A69,TU,Trunk/Principal Road
A114,PU,Trunk/Principal Road
A1057,PR,Trunk/Principal Road
A5123,PU,Trunk/Principal Road
A624,PU,Trunk/Principal Road
A4099,PU,Trunk/Principal Road
M45,TM,Motorways
A5026,PR,Trunk/Principal Road
A8015,PR,Trunk/Principal Road
A323,PU,Trunk/Principal Road
A3016,PU,Trunk/Principal Road
A3054,PU,Trunk/Principal Road
A284,PR,Trunk/Principal Road
A556,TR,Trunk/Principal Road
A5284,PU,Trunk/Principal Road
A5105,PR,Trunk/Principal Road
A209,PU,Trunk/Principal Road
A625,PR,Trunk/Principal Road
A444,PR,Trunk/Principal Road
A483,PR,Trunk/Principal Road
A4079,PR,Trunk/Principal Road
A981,PU,Trunk/Principal Road
A727,PR,Trunk/Principal Road
A27,PU,Trunk/Principal Road
A269,PU,Trunk/Principal Road
A3057,PU,Trunk/Principal Road
A582,PU,Trunk/Principal Road
A6144,PU,Trunk/Principal Road
A4205,PU,Trunk/Principal Road
A5039,PU,Trunk/Principal Road
A5052,PU,Trunk/Principal Road
A5041,PU,Trunk/Principal Road
A1232,PU,Trunk/Principal Road
A428,PU,Trunk/Principal Road
A4103,PR,Trunk/Principal Road
A4510,PR,Trunk/Principal Road
A479,TR,Trunk/Principal Road
A4223,PU,Trunk/Principal Road
A737,PU,Trunk/Principal Road
A6112,PR,Trunk/Principal Road
A275,PR,Trunk/Principal Road
A327,PR,Trunk/Principal Road
A2300,PR,Trunk/Principal Road
A537,PU,Trunk/Principal Road
A174,TU,Trunk/Principal Road
A1068,PR,Trunk/Principal Road
A223,PR,Trunk/Principal Road
A134,TR,Trunk/Principal Road
A657,PU,Trunk/Principal Road
A681,PR,Trunk/Principal Road
M6(T),TM,Motorways
A4118,PR,Trunk/Principal Road
A766,PR,Trunk/Principal Road
A883,PR,Trunk/Principal Road
M60,TM,Motorways
A587,PU,Trunk/Principal Road
A1300,PR,Trunk/Principal Road
A103,PU,Trunk/Principal Road
A3216,PU,Trunk/Principal Road
A5000,PU,Trunk/Principal Road
A15,PU,Trunk/Principal Road
A1074,PU,Trunk/Principal Road
A615,PR,Trunk/Principal Road
A660,TR,Trunk/Principal Road
A456,TR,Trunk/Principal Road
A4091,PR,Trunk/Principal Road
A496,PR,Trunk/Principal Road
A4061,PU,Trunk/Principal Road
A6105,PR,Trunk/Principal Road
A322,PU,Trunk/Principal Road
A322,PR,Trunk/Principal Road
A3056,PR,Trunk/Principal Road
A595,PU,Trunk/Principal Road
A4280,PU,Trunk/Principal Road
A650,PU,Trunk/Principal Road
A1036,PU,Trunk/Principal Road
A6069,PU,Trunk/Principal Road
